,price,area,rooms,ebk,garten,balkon,inkl_NK,category,GEN
302,550.0,76.0,3.0,True,False,False,False,Etagenwohnung,Schleswig-Flensburg
303,695.0,74.0,2.0,True,False,True,False,Etagenwohnung,Segeberg
304,456.0,51.0,2.0,True,False,False,False,Erdgeschosswohnung,Neumünster
305,323.0,38.0,2.0,False,False,False,False,Wohnung,Kiel
306,530.0,71.0,2.5,True,False,True,False,Erdgeschosswohnung,Flensburg
307,730.0,70.0,2.0,True,False,True,False,Wohnung,Herzogtum Lauenburg
308,549.0,69.0,3.0,True,False,True,False,Etagenwohnung,Ostholstein
309,790.0,81.0,3.0,True,False,False,False,Wohnung,Segeberg
310,410.0,38.0,1.0,True,False,False,False,Etagenwohnung,Pinneberg
311,450.0,54.0,2.0,True,False,True,False,Etagenwohnung,Kiel
312,260.0,21.0,1.0,True,False,False,False,Etagenwohnung,Lübeck
313,430.0,58.0,3.0,False,False,True,False,Wohnung,Flensburg
314,680.0,81.0,3.0,False,False,True,False,Wohnung,Flensburg
315,380.0,42.0,2.0,True,False,False,False,Souterrainwohnung,Neumünster
316,465.0,62.0,2.0,True,False,True,False,Etagenwohnung,Neumünster
317,627.0,66.0,4.0,False,False,False,False,Etagenwohnung,Kiel
318,339.0,34.0,1.0,False,False,True,False,Etagenwohnung,Kiel
319,546.0,83.0,3.0,False,False,True,False,Etagenwohnung,Kiel
320,599.0,67.0,2.5,True,False,False,False,Etagenwohnung,Pinneberg
321,536.0,58.0,2.5,True,False,True,False,Wohnung,Nordfriesland
322,371.0,50.0,2.0,True,True,False,False,Wohnung,Pinneberg
323,880.0,93.0,3.5,True,False,True,False,Etagenwohnung,Kiel
324,850.0,81.0,3.0,False,False,True,False,Etagenwohnung,Stormarn
325,767.0,72.0,3.0,False,False,True,False,Erdgeschosswohnung,Stormarn
326,650.0,68.0,3.0,False,False,False,False,Wohnung,Flensburg
327,1000.0,90.0,3.5,True,False,False,False,Wohnung,Stormarn
328,720.0,78.0,3.0,False,False,False,False,Maisonette,Pinneberg
329,410.0,45.0,2.0,False,False,False,False,Etagenwohnung,Flensburg
330,675.0,75.0,3.0,True,False,True,False,Wohnung,Pinneberg
331,319.0,38.0,1.5,False,False,False,False,Wohnung,Rendsburg-Eckernförde
332,399.0,52.0,2.5,False,False,False,False,Wohnung,Rendsburg-Eckernförde
333,359.0,47.0,2.0,False,False,True,False,Wohnung,Rendsburg-Eckernförde
334,287.0,40.0,1.5,False,False,False,False,Erdgeschosswohnung,Kiel
335,490.0,63.0,2.5,False,False,False,False,Erdgeschosswohnung,Kiel
336,399.0,44.0,2.0,False,False,False,False,Etagenwohnung,Herzogtum Lauenburg
337,286.0,32.0,1.0,False,False,True,False,Erdgeschosswohnung,Kiel
338,317.0,34.0,1.5,False,False,False,False,Etagenwohnung,Kiel
339,396.0,53.0,2.0,True,False,False,False,Etagenwohnung,Kiel
340,338.0,41.0,1.5,False,False,False,False,Etagenwohnung,Kiel
341,230.0,35.0,2.0,False,False,False,False,Erdgeschosswohnung,Flensburg
342,999.0,83.0,2.0,False,True,False,False,Erdgeschosswohnung,Pinneberg
343,455.0,65.0,3.0,False,False,False,False,Wohnung,Flensburg
344,1100.0,85.0,3.0,True,True,False,False,Erdgeschosswohnung,Pinneberg
345,465.0,79.0,3.0,False,False,False,False,Etagenwohnung,Schleswig-Flensburg
346,432.48,72.0,2.0,False,False,True,False,Etagenwohnung,Dithmarschen
347,540.0,58.0,2.0,True,False,True,False,Etagenwohnung,Pinneberg
348,687.5,55.0,2.0,True,False,True,False,Etagenwohnung,Pinneberg
349,530.0,52.0,2.0,True,False,False,False,Etagenwohnung,Pinneberg
350,380.0,42.0,2.0,False,False,False,False,Wohnung,Flensburg
351,1420.0,149.0,3.0,True,False,True,False,Dachgeschosswohnung,Pinneberg
352,810.0,90.0,3.0,True,False,False,False,Erdgeschosswohnung,Rendsburg-Eckernförde
353,980.0,150.0,5.0,True,False,False,False,Etagenwohnung,Flensburg
354,445.0,49.0,2.0,False,False,False,False,Erdgeschosswohnung,Kiel
355,493.0,54.0,3.0,False,False,False,False,Etagenwohnung,Kiel
356,330.0,33.0,1.0,False,False,False,False,Etagenwohnung,Kiel
357,320.0,43.0,2.0,True,True,False,False,Wohnung,Lübeck
358,430.0,61.0,3.0,True,True,True,False,Wohnung,Lübeck
359,360.0,24.0,1.0,False,False,True,False,Wohnung,Rendsburg-Eckernförde
